PlayerID,Player_Name,DOB,BattingType,BowlingType
1,A Ashish Reddy,24-Feb-91,1,1
2,A Chandila,05-Dec-83,1,2
3,A Chopra,19-Sep-77,1,2
4,A Choudhary,20-Sep-77,1,3
5,A Dananjaya,21-Sep-77,1,2
6,A Flintoff,06-Dec-77,1,7
7,A Hales,07-Dec-77,1,7
8,A Joseph,08-Dec-77,1,7
9,A Kumble,17-Oct-70,1,6
10,A Mishra,24-Nov-82,1,4
11,A Mithun,25-Oct-89,1,1
12,A Mukund,06-Jan-90,1,6
13,A Nehra,29-Apr-79,1,3
14,A Nel,15-Jul-77,1,7
15,A Roy,16-Jul-77,2,5
16,A Singh,17-Jul-77,1,9
17,A Symonds,09-Jun-75,1,2
18,A Turner,10-Jun-75,1,7
19,A Uniyal,21-Nov-81,1,10
20,A Zampa,31-Mar-92,1,6
21,AA Bilakhia,31-May-86,1,1
22,AA Chavan,28-Oct-85,1,5
23,AA Jhunjhunwala,01-Dec-82,1,2
24,AA Kazi,29-Sep-89,1,5
25,AA Noffke,30-Apr-77,1,7
26,AB Agarkar,04-Dec-77,1,7
27,AB Barath,14-Apr-90,2,2
28,AB de Villiers,17-Feb-84,1,1
29,AB Dinda,25-Mar-84,1,9
30,AB McDonald,05-Jun-81,1,7
31,Abdur Razzak,15-Jun-82,2,5
32,AC Blizzard,27-Jun-84,2,10
33,AC Gilchrist,14-Nov-71,2,2
34,AC Thomas,09-Feb-77,1,7
35,AC Voges,04-Oct-79,1,5
36,AD Mascarenhas,30-Oct-77,1,7
37,AD Mathews,02-Jun-87,1,7
38,AD Nath,10-May-93,1,9
39,AD Russell,29-Apr-88,1,7
40,AF Milne,13-Apr-92,1,7
41,AG Murtaza,01-Jan-90,2,5
42,AG Paunikar,18-Apr-88,1,5
43,AJ Finch,17-Nov-86,1,5
44,AJ Tye,18-Nov-86,1,7
45,AL Menaria,29-Oct-90,2,5
46,AM Nayar,08-Oct-83,2,1
47,AM Rahane,06-Jun-88,1,1
48,AM Salvi,20-Oct-81,1,1
49,AN Ahmed,05-Nov-88,1,9
50,AN Ghosh,19-Oct-86,1,1
51,Anand Rajan,17-Apr-87,1,1
52,Anirudh Singh,02-Aug-80,2,1
53,Ankit Sharma,20-Apr-91,2,5
54,Ankit Soni,21-Apr-91,1,4
55,Anureet Singh,02-Mar-88,1,1
56,AP Dole,09-Oct-87,1,9
57,AP Majumdar,30-Apr-84,1,6
58,AP Tare,07-Nov-87,1,6
59,AR Bawne,08-Nov-87,1,6
60,AR Patel,20-Jan-94,2,5
61,AS Rajpoot,04-Dec-93,1,1
62,AS Raut,03-Mar-87,1,6
63,AS Yadav,04-Mar-87,1,6
64,AT Rayudu,23-Sep-85,1,2
65,AUK Pathan,17-Jun-84,1,1
66,AV Wankhade,14-Mar-92,1,1
67,Avesh Khan,15-Mar-92,1,7
68,Azhar Mahmood,28-Feb-75,1,7
69,B Akhil,07-Oct-77,1,9
70,B Aparajith,08-Jul-94,1,2
71,B Chipli,27-Jan-83,1,1
72,B Geeves,13-Jun-82,1,7
73,B Kumar,05-Feb-90,1,1
74,B Laughlin,03-Oct-82,1,7
75,B Lee,08-Nov-76,1,7
76,B Stanlake,09-Nov-76,1,7
77,B Sumanth,10-May-88,1,9
78,BA Bhatt,13-May-90,2,5
79,BA Stokes,14-May-90,2,7
80,Basil Thampi,15-May-90,1,7
81,BAW Mendis,11-Mar-85,1,2
82,BB McCullum,27-Sep-81,1,1
83,BB Samantray,14-Dec-88,1,1
84,BB Sran,10-Dec-92,2,10
85,BCJ Cutting,30-Jan-87,1,7
86,BE Hendricks,08-Jun-90,2,3
87,Bipul Sharma,28-Sep-83,2,5
88,BJ Haddin,23-Oct-77,1,5
89,BJ Hodge,29-Dec-74,1,2
90,BJ Rohrer,26-Mar-81,2,2
91,BMAJ Mendis,15-Jan-83,2,2
92,BR Dunk,11-Mar-87,2,7
93,BW Hilfenhaus,15-Mar-83,1,7
94,C de Grandhomme,16-Mar-83,1,4
95,C Ganapathy,10-Jun-81,1,1
96,C Ingram,11-Jun-81,2,7
97,C Madan,15-Oct-82,1,7
98,C Munro,11-Mar-87,2,9
99,C Nanda,29-Mar-79,1,4
100,CA Ingram,03-Jul-85,2,4
101,CA Lynn,10-Apr-90,1,5
102,CA Pujara,25-Jan-88,1,4
103,CH Gayle,21-Sep-79,2,2
104,CH Morris,30-Apr-87,1,7
105,CJ Anderson,13-Dec-90,2,3
106,CJ Ferguson,21-Nov-84,1,1
107,CJ Jordan,04-Oct-88,1,7
108,CJ McKay,20-Feb-83,1,7
109,CK Kapugedera,24-Feb-87,1,1
110,CK Langeveldt,17-Dec-74,1,7
111,CL White,18-Aug-83,1,6
112,CM Gautam,08-Mar-86,1,6
113,CR Brathwaite,18-Jul-88,1,7
114,CR Woakes,19-Jul-88,1,7
115,CRD Fernando,19-Jul-79,1,7
116,D du Preez,08-Nov-81,1,7
117,D Kalyankrishna,16-Dec-83,1,9
118,D Salunkhe,12-Nov-82,1,4
119,D Shorey,13-Nov-82,1,4
120,D Short,14-Nov-82,2,5
121,D Wiese,18-May-85,1,9
122,D Willey,19-May-85,1,3
123,DA Miller,10-Jun-89,2,2
124,DA Warner,27-Oct-86,2,4
125,DAJ Bracewell,28-Sep-90,1,7
126,DB Das,22-Sep-86,1,6
127,DB Ravi Teja,05-Sep-87,1,6
128,DE Bollinger,24-Jul-81,2,3
129,DH Yagnik,22-Jun-83,2,3
130,DJ Bravo,07-Oct-83,1,9
131,DJ Harris,31-Dec-79,1,1
132,DJ Hooda,19-Apr-95,1,2
133,DJ Hussey,15-Jul-77,1,2
134,DJ Jacobs,04-Nov-82,1,1
135,DJ Muthuswami,09-Mar-81,1,1
136,DJ Thornely,01-Oct-78,1,1
137,DJG Sammy,20-Dec-83,1,9
138,DL Chahar,07-Aug-92,1,1
139,DL Vettori,27-Jan-79,2,5
140,DM Bravo,28-Jan-79,2,5
141,DNT Zoysa,13-May-78,2,3
142,DP Nannes,16-May-76,1,8
143,DP Vijaykumar,20-Oct-86,1,1
144,DPMD Jayawardene,27-May-77,1,1
145,DR Martyn,21-Oct-71,1,1
146,DR Smith,12-Apr-83,1,1
147,DS Kulkarni,10-Dec-88,1,1
148,DS Lehmann,05-Feb-70,2,5
149,DT Christian,04-May-83,1,7
150,DT Patil,06-Dec-84,1,7
151,DW Steyn,27-Jun-83,1,7
152,E Lewis,28-Jun-83,2,7
153,EJG Morgan,10-Sep-86,2,1
154,ER Dwivedi,22-Jul-88,1,1
155,F Behardien,09-Oct-83,1,7
156,F du Plessis,13-Jul-84,1,4
157,FH Edwards,06-Feb-82,1,7
158,FY Fazal,07-Sep-85,2,1
159,G Gambhir,14-Oct-81,2,4
160,Gagandeep Singh,03-Oct-81,1,9
161,GB Hogg,06-Feb-71,2,9
162,GC Smith,01-Feb-81,2,2
163,GD McGrath,09-Feb-70,1,7
164,GH Vihari,13-Oct-93,1,2
165,GJ Bailey,07-Sep-82,1,1
166,GJ Maxwell,14-Oct-88,1,2
167,GR Napier,06-Jan-80,1,1
168,GS Sandhu,14-Jun-93,2,7
169,Gurkeerat Singh,29-Jun-90,1,2
170,H Brar,30-Jun-90,2,5
171,H Das,10-Dec-86,1,5
172,H Gurney,11-Dec-86,1,7
173,H Klaasen,12-Dec-86,1,7
174,H Vihari,13-Dec-86,1,2
175,H Viljoen,14-Dec-86,1,7
176,Harbhajan Singh,03-Jul-80,1,2
177,Harmeet Singh,07-Sep-92,2,5
178,Harmeet Singh (2),08-Sep-92,1,7
179,Harpreet Singh,11-Aug-91,2,1
180,HH Gibbs,23-Feb-74,1,9
181,HH Pandya,11-Oct-93,1,9
182,HM Amla,31-Mar-83,1,2
183,HV Patel,23-Nov-90,1,1
184,I Malhotra,23-May-84,1,9
